<<<<<<< HEAD
rownames,index,sp,sex,FL,RW,CL,CW,BD
1,1,A,M,8.1,6.7,16.1,19.0,7.0
2,2,A,F,8.3,6.9,16.4,19.3,7.1
3,3,A,M,8.5,7.0,16.8,19.6,7.2
4,4,A,F,8.7,7.2,17.1,19.9,7.3
5,5,A,M,8.9,7.4,17.5,20.2,7.4
6,6,A,F,9.0,7.5,17.8,20.5,7.5
7,7,A,M,8.2,6.8,16.3,19.2,7.0
8,8,A,F,8.4,6.9,16.6,19.4,7.1
9,9,A,M,8.6,7.1,17.0,19.8,7.2
10,10,A,F,8.8,7.3,17.4,20.1,7.3
11,11,A,M,8.3,6.9,16.5,19.3,7.1
12,12,A,F,8.7,7.2,17.2,19.9,7.3
13,13,A,M,8.9,7.4,17.6,20.3,7.4
14,14,A,F,9.1,7.6,18.0,20.7,7.5
15,15,A,M,8.4,7.0,16.7,19.5,7.2
16,16,A,F,8.6,7.1,17.0,19.7,7.3
17,17,A,M,8.8,7.3,17.3,20.0,7.4
18,18,A,F,9.0,7.5,17.7,20.4,7.5
19,19,A,M,8.5,7.0,16.8,19.6,7.2
20,20,A,F,8.9,7.4,17.5,20.2,7.4
21,21,A,M,8.2,6.8,16.4,19.2,7.0
22,22,A,F,8.6,7.1,17.1,19.8,7.3
23,23,A,M,8.7,7.2,17.3,20.0,7.3
24,24,A,F,8.9,7.4,17.6,20.3,7.4
25,25,A,M,9.1,7.6,18.0,20.7,7.5
26,26,A,F,8.3,6.9,16.5,19.3,7.1
27,27,A,M,8.5,7.0,16.8,19.6,7.2
28,28,A,F,8.7,7.2,17.1,19.9,7.3
29,29,A,M,8.9,7.4,17.5,20.2,7.4
30,30,A,F,9.0,7.5,17.8,20.5,7.5

31,31,B,M,9.2,7.8,19.0,22.4,7.7
32,32,B,F,9.4,8.0,19.4,22.8,7.9
33,33,B,M,9.6,8.2,19.8,23.2,8.0
34,34,B,F,9.8,8.4,20.2,23.6,8.1
35,35,B,M,10.0,8.5,20.6,24.0,8.2
36,36,B,F,9.3,7.9,19.2,22.6,7.8
37,37,B,M,9.5,8.1,19.6,23.0,8.0
38,38,B,F,9.7,8.3,20.0,23.4,8.1
39,39,B,M,9.9,8.5,20.4,23.8,8.2
40,40,B,F,10.1,8.6,20.8,24.2,8.3
41,41,B,M,9.4,8.0,19.5,22.9,7.9
42,42,B,F,9.6,8.2,19.9,23.3,8.0
43,43,B,M,9.8,8.4,20.3,23.7,8.1
44,44,B,F,10.0,8.5,20.7,24.1,8.2
45,45,B,M,9.3,7.9,19.3,22.7,7.8
46,46,B,F,9.5,8.1,19.7,23.1,8.0
47,47,B,M,9.7,8.3,20.1,23.5,8.1
48,48,B,F,9.9,8.5,20.5,23.9,8.2
49,49,B,M,10.1,8.6,20.9,24.3,8.3
50,50,B,F,9.4,8.0,19.4,22.8,7.9
51,51,B,M,9.6,8.2,19.8,23.2,8.0
52,52,B,F,9.8,8.4,20.2,23.6,8.1
53,53,B,M,10.0,8.5,20.6,24.0,8.2
54,54,B,F,9.3,7.9,19.2,22.6,7.8
55,55,B,M,9.5,8.1,19.6,23.0,8.0
56,56,B,F,9.7,8.3,20.0,23.4,8.1
57,57,B,M,9.9,8.5,20.4,23.8,8.2
58,58,B,F,10.1,8.6,20.8,24.2,8.3
59,59,B,M,9.4,8.0,19.5,22.9,7.9
60,60,B,F,9.6,8.2,19.9,23.3,8.0

61,61,C,M,10.2,8.8,21.0,24.5,8.4
62,62,C,F,10.4,9.0,21.4,24.9,8.6
63,63,C,M,10.6,9.2,21.8,25.3,8.7
64,64,C,F,10.8,9.4,22.2,25.7,8.8
65,65,C,M,11.0,9.5,22.6,26.1,8.9
66,66,C,F,10.3,8.9,21.2,24.7,8.5
67,67,C,M,10.5,9.1,21.6,25.1,8.6
68,68,C,F,10.7,9.3,22.0,25.5,8.7
69,69,C,M,10.9,9.5,22.4,25.9,8.8
70,70,C,F,11.1,9.6,22.8,26.3,8.9
71,71,C,M,10.4,9.0,21.5,25.0,8.6
72,72,C,F,10.6,9.2,21.9,25.4,8.7
73,73,C,M,10.8,9.4,22.3,25.8,8.8
74,74,C,F,11.0,9.5,22.7,26.2,8.9
75,75,C,M,10.3,8.9,21.3,24.8,8.5
=======
rownames,index,sp,sex,fl,rw,cl,cw,bd
1,1,B,M,8.1,6.7,16.1,19.0,7.0
2,2,B,M,8.8,7.7,18.1,20.5,7.4
3,3,B,M,9.2,7.8,19.0,22.0,7.7
4,4,B,F,7.9,6.5,15.8,18.3,6.8
5,5,B,F,8.5,7.2,17.5,20.1,7.2
6,6,O,M,10.1,8.5,20.3,23.5,8.2
7,7,O,F,9.7,8.1,19.8,22.9,8.0
8,8,O,M,10.5,8.7,21.0,24.1,8.5
9,9,O,F,9.3,7.9,19.2,22.3,7.8
10,10,B,M,8.6,7.0,17.2,19.8,7.1
>>>>>>> ea9390e4d3e0e10c0d21188b6f8edeb0d00f64c7
